group,cohort,sym,ret,excess
Breakouts,2026-05,ENPH,-0.499856139258515,-0.530095262728534
Breakouts,2026-05,PLUG,-0.4927184533439133,-0.5229575768139323
Breakouts,2026-05,QBTS,-0.39979651067090094,-0.43003563414091994
Top Picks,2026-06,CLOV,-0.07157462457848907,-0.14324027973382691
Breakouts,2026-05,CLOV,0.08612443739202003,0.05588531392200102
Top Picks,2026-06,TER,-0.11730400874908309,-0.1472291574776159
Breakouts,2026-05,TER,-0.0025177399460342142,-0.03275686341605322
Breakouts,2026-05,ASML,0.06710999379865701,0.036870870328638006
Breakouts,2026-05,QCOM,-0.19434262570467808,-0.2245817491746971
Breakouts,2026-05,BTDR,-0.2850924405170264,-0.3153315639870454
Breakouts,2026-05,GH,0.34065843044256017,0.31297967930869364
Breakouts,2026-05,XMTR,0.04449572697064208,0.01681697583677555
Breakouts,2026-05,MT,0.04723975032685068,0.019560999192984152
Breakouts,2026-05,NUE,-0.02801871773253073,-0.05569746886639726
Breakouts,2026-05,RXO,-0.2290852473740962,-0.2567639985079627
Top Picks,2026-06,FROG,0.02120106271228761,-0.02525072268895734
Breakouts,2026-05,FROG,0.15752385649558742,0.1298451053617209
Breakouts,2026-05,STLD,-0.11392801316354906,-0.1416067642974156
Top Picks,2026-05,NTAP,0.1403513023985039,0.11267255126463738
Breakouts,2026-06,NTAP,0.09759118272889977,0.06686036725425404
Top Picks,2026-08,AYA,-0.02082624074034034,-0.026429614317834416
Breakouts,2026-05,AYA,0.3657143002464658,0.33803554911259925
Breakouts,2026-05,INOD,-0.41846068503646705,-0.4461394361703336
Breakouts,2026-05,BWA,-0.11391185922997737,-0.1415906103638439
Breakouts,2026-05,CLSK,-0.19300166812177166,-0.2206804192556382
Breakouts,2026-05,SHLS,-0.3706827182184965,-0.39836146935236305
Breakouts,2026-06,RCUS,0.010907701044539087,-0.013980214940851665
Breakouts,2026-06,AMPX,-0.5581609353251841,-0.5830488513105748
Breakouts,2026-06,FTNT,0.17714627844327557,0.1536482688212979
Breakouts,2026-06,VSXY,0.01961028906696094,-0.003887720555016738
Breakouts,2026-06,IREN,-0.29084083146655637,-0.31433884108853405
Breakouts,2026-06,EC,0.053817311325855544,0.030319301703877866
Breakouts,2026-06,AVT,0.03546977448822264,0.01197176486624496
Breakouts,2026-06,AKAM,-0.26765220622359076,-0.29115021584556844
Top Picks,2026-09,CRWD,0.15938995495368946,0.14148357549677315
Breakouts,2026-06,CRWD,0.29709345026386913,0.27359544064189145
Breakouts,2026-06,PANW,0.2509590784303215,0.22746106880834382
